color,a0,a1,a2,a3,a4,a5,min_value,max_value,min_feh,max_feh,err_clbr
bv,0.5665,0.4809,-0.006,-0.0613,-0.0042,-0.0055,0.18,1.29,-5,0.4,73
vr,0.4386,1.4614,-0.7014,-0.0807,0.0142,-0.0015,0.24,0.8,-5,0.3,62
ri,0.3296,1.9716,-1.0225,-0.0298,0.0329,0.0035,0.23,0.68,-5,0.3,82
vi,0.4033,0.8171,-0.1987,-0.0409,0.0319,0.0012,0.46,1.47,-5,0.3,59
vj,0.4669,0.3849,-0.035,-0.014,0.0225,0.0011,0.61,2.44,-5,0.4,42
vh,0.5251,0.2553,-0.0119,-0.0187,0.041,0.0025,0.67,3.01,-5,0.4,33
vk,0.5057,0.26,-0.0146,-0.0131,0.0288,0.0016,0.78,3.15,-5,0.4,25
jk,0.6393,0.6104,0.092,-0.033,0.0291,0.002,0.07,0.8,-5,0.4,132
btvt,0.5839,0.4,-0.0067,-0.0282,-0.0346,-0.0087,0.19,1.49,-2.7,0.4,79
vtj,0.4525,0.3797,-0.0357,-0.0082,0.0123,-0.0009,0.77,2.56,-2.7,0.4,43
vth,0.5286,0.2354,-0.0073,-0.0182,0.0401,0.0021,0.77,3.16,-2.7,0.4,26
vtk,0.4892,0.2634,-0.0165,-0.0121,0.0249,-0.0001,0.99,3.29,-2.4,0.4,18
by_,0.5796,0.4812,0.5747,-0.0633,0.0042,-0.0055,0.18,0.72,-3.7,0.5,62
