teff,logg,feh,ao,dao0,dao1,dao2
4400,2.0,-1.4,7.0,0.27,0.26,0.23
4400,2.0,-1.4,7.5,0.37,0.35,0.33
4400,2.0,-1.4,8.0,0.46,0.45,0.42
4400,2.0,-1.4,8.5,0.57,0.54,0.48
4400,2.0,-1.4,9.0,0.73,0.69,0.62
4400,2.0,-1.4,9.5,0.88,0.84,0.76
4400,2.0,-1.4,10.0,1.03,1.00,0.94
4400,3.0,-1.4,7.0,0.11,0.11,0.10
4400,3.0,-1.4,7.5,0.22,0.22,0.20
4400,3.0,-1.4,8.0,0.29,0.29,0.28
4400,3.0,-1.4,8.5,0.34,0.32,0.30
4400,3.0,-1.4,9.0,0.42,0.39,0.36
4400,3.0,-1.4,9.5,0.53,0.50,0.45
4400,3.0,-1.4,10.0,0.66,0.62,0.57
4400,4.0,-1.4,7.0,0.08,0.08,0.08
4400,4.0,-1.4,7.5,0.17,0.17,0.17
4400,4.0,-1.4,8.0,0.20,0.20,0.20
4400,4.0,-1.4,8.5,0.22,0.22,0.22
4400,4.0,-1.4,9.0,0.26,0.24,0.22
4400,4.0,-1.4,9.5,0.30,0.28,0.24
4400,4.0,-1.4,10.0,0.40,0.38,0.35
4400,5.0,-1.4,7.0,0.09,0.09,0.09
4400,5.0,-1.4,7.5,0.19,0.19,0.19
4400,5.0,-1.4,8.0,0.23,0.23,0.23
4400,5.0,-1.4,8.5,0.24,0.24,0.23
4400,5.0,-1.4,9.0,0.24,0.24,0.24
4400,5.0,-1.4,9.5,0.20,0.19,0.17
4400,5.0,-1.4,10.0,0.30,0.29,0.27
4400,2.0,-1.2,7.0,0.20,0.19,0.19
4400,2.0,-1.2,7.5,0.32,0.31,0.29
4400,2.0,-1.2,8.0,0.42,0.40,0.38
4400,2.0,-1.2,8.5,0.53,0.48,0.44
4400,2.0,-1.2,9.0,0.68,0.63,0.56
4400,2.0,-1.2,9.5,0.84,0.79,0.72
4400,2.0,-1.2,10.0,1.00,0.96,0.90
4400,3.0,-1.2,7.0,0.10,0.10,0.09
4400,3.0,-1.2,7.5,0.20,0.19,0.19
4400,3.0,-1.2,8.0,0.28,0.27,0.26
4400,3.0,-1.2,8.5,0.33,0.31,0.29
4400,3.0,-1.2,9.0,0.41,0.39,0.35
4400,3.0,-1.2,9.5,0.53,0.49,0.44
4400,3.0,-1.2,10.0,0.67,0.62,0.57
4400,4.0,-1.2,7.0,0.06,0.06,0.05
4400,4.0,-1.2,7.5,0.14,0.14,0.14
4400,4.0,-1.2,8.0,0.17,0.17,0.17
4400,4.0,-1.2,8.5,0.19,0.19,0.19
4400,4.0,-1.2,9.0,0.22,0.22,0.20
4400,4.0,-1.2,9.5,0.28,0.26,0.22
4400,4.0,-1.2,10.0,0.38,0.36,0.33
4400,5.0,-1.2,7.0,0.05,0.05,0.06
4400,5.0,-1.2,7.5,0.14,0.14,0.14
4400,5.0,-1.2,8.0,0.17,0.17,0.17
4400,5.0,-1.2,8.5,0.19,0.17,0.17
4400,5.0,-1.2,9.0,0.19,0.19,0.19
4400,5.0,-1.2,9.5,0.14,0.12,0.11
4400,5.0,-1.2,10.0,0.24,0.23,0.22
4400,2.0,-1.0,7.0,0.17,0.16,0.14
4400,2.0,-1.0,7.5,0.28,0.26,0.24
4400,2.0,-1.0,8.0,0.38,0.36,0.34
4400,2.0,-1.0,8.5,0.47,0.44,0.40
4400,2.0,-1.0,9.0,0.62,0.57,0.50
4400,2.0,-1.0,9.5,0.78,0.73,0.66
4400,2.0,-1.0,10.0,0.94,0.90,0.84
4400,3.0,-1.0,7.0,0.09,0.09,0.09
4400,3.0,-1.0,7.5,0.19,0.19,0.19
4400,3.0,-1.0,8.0,0.26,0.24,0.23
4400,3.0,-1.0,8.5,0.32,0.30,0.28
4400,3.0,-1.0,9.0,0.41,0.38,0.34
4400,3.0,-1.0,9.5,0.53,0.49,0.44
4400,3.0,-1.0,10.0,0.68,0.63,0.57
4400,4.0,-1.0,7.0,0.04,0.04,0.04
4400,4.0,-1.0,7.5,0.11,0.11,0.11
4400,4.0,-1.0,8.0,0.14,0.14,0.14
4400,4.0,-1.0,8.5,0.17,0.16,0.14
4400,4.0,-1.0,9.0,0.20,0.19,0.17
4400,4.0,-1.0,9.5,0.26,0.23,0.20
4400,4.0,-1.0,10.0,0.37,0.35,0.32
4400,5.0,-1.0,7.0,0.04,0.04,0.04
4400,5.0,-1.0,7.5,0.10,0.10,0.10
4400,5.0,-1.0,8.0,0.12,0.12,0.12
4400,5.0,-1.0,8.5,0.12,0.12,0.12
4400,5.0,-1.0,9.0,0.14,0.14,0.12
4400,5.0,-1.0,9.5,0.10,0.09,0.08
4400,5.0,-1.0,10.0,0.20,0.19,0.19
4400,2.0,-0.8,7.0,0.12,0.11,0.10
4400,2.0,-0.8,7.5,0.22,0.22,0.19
4400,2.0,-0.8,8.0,0.32,0.30,0.28
4400,2.0,-0.8,8.5,0.41,0.38,0.34
4400,2.0,-0.8,9.0,0.54,0.49,0.44
4400,2.0,-0.8,9.5,0.69,0.63,0.57
4400,2.0,-0.8,10.0,0.86,0.81,0.75
4400,3.0,-0.8,7.0,0.09,0.08,0.08
4400,3.0,-0.8,7.5,0.17,0.17,0.17
4400,3.0,-0.8,8.0,0.23,0.22,0.22
4400,3.0,-0.8,8.5,0.31,0.28,0.26
4400,3.0,-0.8,9.0,0.40,0.37,0.33
4400,3.0,-0.8,9.5,0.50,0.48,0.43
4400,3.0,-0.8,10.0,0.66,0.62,0.56
4400,4.0,-0.8,7.0,0.04,0.04,0.04
4400,4.0,-0.8,7.5,0.11,0.11,0.10
4400,4.0,-0.8,8.0,0.14,0.14,0.14
4400,4.0,-0.8,8.5,0.17,0.16,0.14
4400,4.0,-0.8,9.0,0.20,0.19,0.17
4400,4.0,-0.8,9.5,0.27,0.23,0.20
4400,4.0,-0.8,10.0,0.38,0.36,0.33
4400,5.0,-0.8,7.0,0.02,0.02,0.02
4400,5.0,-0.8,7.5,0.09,0.09,0.09
4400,5.0,-0.8,8.0,0.10,0.10,0.10
4400,5.0,-0.8,8.5,0.10,0.09,0.10
4400,5.0,-0.8,9.0,0.10,0.10,0.10
4400,5.0,-0.8,9.5,0.09,0.08,0.05
4400,5.0,-0.8,10.0,0.17,0.17,0.16
4400,2.0,-0.6,7.0,0.09,0.08,0.08
4400,2.0,-0.6,7.5,0.17,0.17,0.16
4400,2.0,-0.6,8.0,0.26,0.23,0.22
4400,2.0,-0.6,8.5,0.34,0.31,0.27
4400,2.0,-0.6,9.0,0.45,0.41,0.36
4400,2.0,-0.6,9.5,0.57,0.54,0.48
4400,2.0,-0.6,10.0,0.74,0.69,0.62
4400,3.0,-0.6,7.0,0.08,0.06,0.06
4400,3.0,-0.6,7.5,0.16,0.14,0.14
4400,3.0,-0.6,8.0,0.22,0.20,0.19
4400,3.0,-0.6,8.5,0.28,0.26,0.22
4400,3.0,-0.6,9.0,0.37,0.34,0.30
4400,3.0,-0.6,9.5,0.49,0.45,0.40
4400,3.0,-0.6,10.0,0.62,0.59,0.53
4400,4.0,-0.6,7.0,0.04,0.04,0.04
4400,4.0,-0.6,7.5,0.09,0.09,0.09
4400,4.0,-0.6,8.0,0.12,0.11,0.11
4400,4.0,-0.6,8.5,0.16,0.14,0.14
4400,4.0,-0.6,9.0,0.20,0.19,0.17
4400,4.0,-0.6,9.5,0.26,0.23,0.19
4400,4.0,-0.6,10.0,0.38,0.36,0.32
4400,5.0,-0.6,7.0,0.02,0.02,0.04
4400,5.0,-0.6,7.5,0.08,0.08,0.08
4400,5.0,-0.6,8.0,0.09,0.09,0.09
4400,5.0,-0.6,8.5,0.09,0.09,0.09
4400,5.0,-0.6,9.0,0.09,0.09,0.09
4400,5.0,-0.6,9.5,0.08,0.06,0.05
4400,5.0,-0.6,10.0,0.17,0.16,0.14
4400,2.0,-0.4,7.0,0.06,0.05,0.04
4400,2.0,-0.4,7.5,0.14,0.12,0.11
4400,2.0,-0.4,8.0,0.19,0.19,0.17
4400,2.0,-0.4,8.5,0.27,0.24,0.22
4400,2.0,-0.4,9.0,0.37,0.34,0.30
4400,2.0,-0.4,9.5,0.48,0.44,0.40
4400,2.0,-0.4,10.0,0.61,0.56,0.50
4400,3.0,-0.4,7.0,0.05,0.04,0.04
4400,3.0,-0.4,7.5,0.12,0.11,0.10
4400,3.0,-0.4,8.0,0.17,0.17,0.14
4400,3.0,-0.4,8.5,0.23,0.22,0.19
4400,3.0,-0.4,9.0,0.32,0.30,0.26
4400,3.0,-0.4,9.5,0.43,0.40,0.35
4400,3.0,-0.4,10.0,0.56,0.51,0.47
4400,4.0,-0.4,7.0,0.04,0.04,0.02
4400,4.0,-0.4,7.5,0.09,0.09,0.09
4400,4.0,-0.4,8.0,0.11,0.10,0.10
4400,4.0,-0.4,8.5,0.14,0.14,0.11
4400,4.0,-0.4,9.0,0.19,0.17,0.16
4400,4.0,-0.4,9.5,0.26,0.22,0.19
4400,4.0,-0.4,10.0,0.38,0.36,0.32
4400,5.0,-0.4,7.0,0.01,0.01,0.01
4400,5.0,-0.4,7.5,0.05,0.06,0.05
4400,5.0,-0.4,8.0,0.06,0.06,0.06
4400,5.0,-0.4,8.5,0.08,0.06,0.06
4400,5.0,-0.4,9.0,0.09,0.08,0.08
4400,5.0,-0.4,9.5,0.08,0.06,0.04
4400,5.0,-0.4,10.0,0.16,0.14,0.12
4400,2.0,-0.2,7.0,0.04,0.04,0.04
4400,2.0,-0.2,7.5,0.10,0.09,0.09
4400,2.0,-0.2,8.0,0.16,0.14,0.12
4400,2.0,-0.2,8.5,0.22,0.19,0.17
4400,2.0,-0.2,9.0,0.30,0.28,0.23
